participation,task,trial,stim1_name,stim2_name,stim3_name,choice,response_time,catch_trial_flag,token,survey_code
fluid-muskrat,set1,0,30,178,121,30,11.919,False,p1,9239.0
fluid-muskrat,set1,1,229,38,46,38,34.714,False,p1,9239.0
fluid-muskrat,set1,2,0,2,56,0,3.915,False,p1,9239.0
fluid-muskrat,set1,3,150,32,175,32,9.815,False,p1,9239.0
fluid-muskrat,set1,4,234,142,105,142,18.165,False,p1,9239.0
fluid-muskrat,set1,5,121,27,168,27,9.982,False,p1,9239.0
fluid-muskrat,set1,6,151,180,225,151,6.917,False,p1,9239.0
fluid-muskrat,set1,7,120,195,215,120,6.098,False,p1,9239.0
fluid-muskrat,set1,8,108,101,201,108,4.133,False,p1,9239.0
fluid-muskrat,set1,9,8,82,221,221,3.531,False,p1,9239.0
fluid-muskrat,set1,10,130,76,12,130,13.533,False,p1,9239.0
fluid-muskrat,set1,11,214,1,144,144,49.897,False,p1,9239.0
fluid-muskrat,set1,12,135,95,80,135,12.548,False,p1,9239.0
fluid-muskrat,set1,13,241,83,174,174,7.232,False,p1,9239.0
fluid-muskrat,set1,14,14,99,79,99,9.866,False,p1,9239.0
fluid-muskrat,set1,15,77,86,49,49,3.548,False,p1,9239.0
fluid-muskrat,set1,16,120,120,56,56,2.5,False,p1,9239.0
fluid-muskrat,set1,17,71,121,19,71,3.366,False,p1,9239.0
fluid-muskrat,set1,18,196,14,19,196,9.148,False,p1,9239.0
fluid-muskrat,set1,19,162,169,64,64,5.565,False,p1,9239.0
fluid-muskrat,set1,20,152,188,74,188,11.4,False,p1,9239.0
fluid-muskrat,set2,0,92,29,177,92,6.777,False,p1,9239.0
fluid-muskrat,set2,1,16,9,21,9,4.033,False,p1,9239.0
fluid-muskrat,set2,2,175,167,183,175,3.965,False,p1,9239.0
fluid-muskrat,set2,3,85,145,37,145,11.198,False,p1,9239.0
fluid-muskrat,set2,4,74,45,105,74,4.316,False,p1,9239.0
fluid-muskrat,set2,5,202,205,84,84,8.199,False,p1,9239.0
fluid-muskrat,set2,6,227,16,204,16,6.083,False,p1,9239.0
fluid-muskrat,set2,7,220,79,9,9,5.083,False,p1,9239.0
fluid-muskrat,set2,8,213,28,199,28,6.266,False,p1,9239.0
fluid-muskrat,set2,9,2,97,69,69,5.715,False,p1,9239.0
fluid-muskrat,set2,10,57,191,100,57,5.998,False,p1,9239.0
fluid-muskrat,set2,11,166,62,134,166,4.765,False,p1,9239.0
fluid-muskrat,set2,12,161,186,43,186,2.615,False,p1,9239.0
fluid-muskrat,set2,13,224,224,108,108,2.616,False,p1,9239.0
fluid-muskrat,set2,14,184,138,119,184,3.051,False,p1,9239.0
fluid-muskrat,set2,15,137,245,111,111,2.865,False,p1,9239.0
fluid-muskrat,set2,16,157,32,206,157,6.716,False,p1,9239.0
fluid-muskrat,set2,17,224,155,44,155,3.03,False,p1,9239.0
fluid-muskrat,set2,18,17,132,145,145,5.881,False,p1,9239.0
fluid-muskrat,set2,19,214,67,108,67,4.914,False,p1,9239.0
fluid-muskrat,set2,20,88,159,110,88,6.75,False,p1,9239.0
fluid-muskrat,set3,0,23,30,186,186,10.812,False,p1,9239.0
fluid-muskrat,set3,1,162,105,0,105,4.365,False,p1,9239.0
fluid-muskrat,set3,2,118,87,233,233,3.181,False,p1,9239.0
fluid-muskrat,set3,3,71,83,234,234,2.866,False,p1,9239.0
fluid-muskrat,set3,4,230,168,100,230,3.883,False,p1,9239.0
fluid-muskrat,set3,5,90,153,149,149,5.369,False,p1,9239.0
fluid-muskrat,set3,6,97,224,123,123,2.398,False,p1,9239.0
fluid-muskrat,set3,7,41,131,221,41,7.979,False,p1,9239.0
fluid-muskrat,set3,8,249,146,46,249,14.783,False,p1,9239.0
fluid-muskrat,set3,9,231,124,248,231,10.898,False,p1,9239.0
fluid-muskrat,set3,10,49,78,208,49,5.315,False,p1,9239.0
fluid-muskrat,set3,11,23,143,132,132,7.082,False,p1,9239.0
fluid-muskrat,set3,12,128,75,84,84,7.748,False,p1,9239.0
fluid-muskrat,set3,13,13,160,51,13,3.332,False,p1,9239.0
fluid-muskrat,set3,14,214,18,189,189,4.801,False,p1,9239.0
fluid-muskrat,set3,15,130,119,132,130,4.764,False,p1,9239.0
fluid-muskrat,set3,16,231,197,154,154,4.198,False,p1,9239.0
fluid-muskrat,set3,17,189,59,205,59,3.699,False,p1,9239.0
fluid-muskrat,set3,18,180,122,194,180,5.665,False,p1,9239.0
fluid-muskrat,set3,19,172,99,3,3,6.066,False,p1,9239.0
fluid-muskrat,set3,20,23,23,132,132,2.765,False,p1,9239.0
fluid-muskrat,set4,0,120,174,157,157,3.107,False,p1,9239.0
fluid-muskrat,set4,1,111,29,244,29,3.631,False,p1,9239.0
fluid-muskrat,set4,2,138,65,29,138,3.933,False,p1,9239.0
fluid-muskrat,set4,3,218,139,2,218,3.849,False,p1,9239.0
fluid-muskrat,set4,4,105,151,171,151,3.398,False,p1,9239.0
fluid-muskrat,set4,5,126,239,241,239,11.568,False,p1,9239.0
fluid-muskrat,set4,6,243,103,203,103,3.916,False,p1,9239.0
fluid-muskrat,set4,7,193,146,105,146,3.647,False,p1,9239.0
fluid-muskrat,set4,8,47,56,24,24,9.717,False,p1,9239.0
fluid-muskrat,set4,9,223,66,141,223,3.499,False,p1,9239.0
fluid-muskrat,set4,10,151,191,213,151,5.149,False,p1,9239.0
fluid-muskrat,set4,11,47,67,104,47,8.197,False,p1,9239.0
fluid-muskrat,set4,12,151,151,29,29,2.431,False,p1,9239.0
fluid-muskrat,set4,13,167,210,36,36,3.531,False,p1,9239.0
fluid-muskrat,set4,14,137,25,185,137,8.199,False,p1,9239.0
fluid-muskrat,set4,15,35,190,33,33,7.497,False,p1,9239.0
fluid-muskrat,set4,16,78,209,21,209,4.75,False,p1,9239.0
fluid-muskrat,set4,17,115,167,2,115,4.516,False,p1,9239.0
fluid-muskrat,set4,18,12,104,205,205,2.367,False,p1,9239.0
fluid-muskrat,set4,19,197,38,52,38,3.881,False,p1,9239.0
fluid-muskrat,set4,20,76,209,148,209,3.948,False,p1,9239.0
fluid-muskrat,set5,0,37,37,141,141,87.396,False,p1,9239.0
fluid-muskrat,set5,1,199,165,148,199,4.098,False,p1,9239.0
fluid-muskrat,set5,2,200,7,0,200,5.616,False,p1,9239.0
fluid-muskrat,set5,3,181,138,191,138,4.0,False,p1,9239.0
fluid-muskrat,set5,4,139,121,138,138,115.31,False,p1,9239.0
fluid-muskrat,set5,5,170,35,230,230,4.268,False,p1,9239.0
fluid-muskrat,set5,6,115,183,61,61,3.364,False,p1,9239.0
fluid-muskrat,set5,7,152,84,200,84,6.4,False,p1,9239.0
fluid-muskrat,set5,8,77,54,233,77,4.833,False,p1,9239.0
fluid-muskrat,set5,9,37,211,141,37,2.965,False,p1,9239.0
fluid-muskrat,set5,10,177,235,153,177,7.432,False,p1,9239.0
fluid-muskrat,set5,11,153,41,103,153,4.849,False,p1,9239.0
fluid-muskrat,set5,12,231,1,180,180,2.682,False,p1,9239.0
fluid-muskrat,set5,13,161,102,61,102,4.799,False,p1,9239.0
fluid-muskrat,set5,14,144,59,128,59,2.565,False,p1,9239.0
fluid-muskrat,set5,15,178,76,40,40,2.683,False,p1,9239.0
fluid-muskrat,set5,16,182,160,95,182,4.398,False,p1,9239.0
fluid-muskrat,set5,17,37,122,28,122,3.616,False,p1,9239.0
fluid-muskrat,set5,18,178,67,194,178,58.448,False,p1,9239.0
fluid-muskrat,set5,19,39,0,203,203,2.664,False,p1,9239.0
fluid-muskrat,set5,20,6,212,9,6,4.766,False,p1,9239.0
fluid-muskrat,set6,0,78,48,15,78,7.888,False,p1,9239.0
fluid-muskrat,set6,1,9,195,124,124,2.465,False,p1,9239.0
fluid-muskrat,set6,2,143,173,171,171,4.283,False,p1,9239.0
fluid-muskrat,set6,3,7,84,16,84,3.881,False,p1,9239.0
fluid-muskrat,set6,4,223,25,226,226,7.598,False,p1,9239.0
fluid-muskrat,set6,5,214,210,113,210,2.783,False,p1,9239.0
fluid-muskrat,set6,6,110,22,13,13,2.616,False,p1,9239.0
fluid-muskrat,set6,7,84,242,243,242,2.748,False,p1,9239.0
fluid-muskrat,set6,8,11,177,225,225,4.732,False,p1,9239.0
fluid-muskrat,set6,9,202,81,159,202,2.783,False,p1,9239.0
fluid-muskrat,set6,10,234,101,103,103,3.166,False,p1,9239.0
fluid-muskrat,set6,11,155,115,0,0,5.482,False,p1,9239.0
fluid-muskrat,set6,12,47,166,198,47,2.397,False,p1,9239.0
fluid-muskrat,set6,13,214,214,122,122,2.632,False,p1,9239.0
fluid-muskrat,set6,14,167,108,20,167,2.482,False,p1,9239.0
fluid-muskrat,set6,15,111,34,10,111,4.581,False,p1,9239.0
fluid-muskrat,set6,16,125,193,122,122,2.431,False,p1,9239.0
fluid-muskrat,set6,17,203,129,230,230,2.951,False,p1,9239.0
fluid-muskrat,set6,18,107,106,246,246,3.15,False,p1,9239.0
fluid-muskrat,set6,19,106,163,216,163,5.897,False,p1,9239.0
fluid-muskrat,set6,20,153,124,148,124,2.916,False,p1,9239.0
fluid-muskrat,set7,0,108,153,240,240,6.556,False,p1,9239.0
fluid-muskrat,set7,1,106,212,67,106,3.332,False,p1,9239.0
fluid-muskrat,set7,2,245,94,133,245,3.114,False,p1,9239.0
fluid-muskrat,set7,3,38,236,53,53,3.683,False,p1,9239.0
fluid-muskrat,set7,4,6,101,151,6,2.849,False,p1,9239.0
fluid-muskrat,set7,5,144,182,232,232,4.881,False,p1,9239.0
fluid-muskrat,set7,6,157,212,169,157,2.999,False,p1,9239.0
fluid-muskrat,set7,7,120,191,117,117,2.749,False,p1,9239.0
fluid-muskrat,set7,8,122,225,191,122,4.217,False,p1,9239.0
fluid-muskrat,set7,9,245,201,91,91,2.482,False,p1,9239.0
fluid-muskrat,set7,10,200,85,63,63,3.831,False,p1,9239.0
fluid-muskrat,set7,11,12,200,36,200,5.031,False,p1,9239.0
fluid-muskrat,set7,12,120,120,67,67,2.448,False,p1,9239.0
fluid-muskrat,set7,13,122,133,222,122,3.116,False,p1,9239.0
fluid-muskrat,set7,14,154,79,175,175,2.632,False,p1,9239.0
fluid-muskrat,set7,15,140,35,113,113,3.415,False,p1,9239.0
fluid-muskrat,set7,16,7,224,166,166,2.667,False,p1,9239.0
fluid-muskrat,set7,17,202,104,75,75,7.647,False,p1,9239.0
fluid-muskrat,set7,18,240,215,89,89,4.333,False,p1,9239.0
fluid-muskrat,set7,19,32,195,201,201,4.081,False,p1,9239.0
fluid-muskrat,set7,20,73,85,82,85,7.632,False,p1,9239.0
fluid-muskrat,set8,0,166,203,6,203,2.973,False,p1,9239.0
fluid-muskrat,set8,1,5,15,121,15,2.432,False,p1,9239.0
fluid-muskrat,set8,2,5,118,202,202,3.815,False,p1,9239.0
fluid-muskrat,set8,3,66,165,122,122,2.966,False,p1,9239.0
fluid-muskrat,set8,4,140,69,169,69,5.549,False,p1,9239.0
fluid-muskrat,set8,5,193,190,27,27,6.216,False,p1,9239.0
fluid-muskrat,set8,6,166,166,99,99,2.398,False,p1,9239.0
fluid-muskrat,set8,7,4,249,155,4,4.681,False,p1,9239.0
fluid-muskrat,set8,8,34,183,17,34,153.328,False,p1,9239.0
fluid-muskrat,set8,9,32,11,99,99,2.416,False,p1,9239.0
fluid-muskrat,set8,10,13,6,77,6,3.598,False,p1,9239.0
fluid-muskrat,set8,11,184,142,77,142,2.699,False,p1,9239.0
fluid-muskrat,set8,12,30,4,74,4,4.849,False,p1,9239.0
fluid-muskrat,set8,13,95,83,242,242,2.631,False,p1,9239.0
fluid-muskrat,set8,14,181,121,76,121,4.031,False,p1,9239.0
fluid-muskrat,set8,15,61,248,108,61,4.299,False,p1,9239.0
fluid-muskrat,set8,16,33,128,143,128,7.182,False,p1,9239.0
fluid-muskrat,set8,17,110,179,200,200,5.948,False,p1,9239.0
fluid-muskrat,set8,18,143,226,97,143,2.998,False,p1,9239.0
fluid-muskrat,set8,19,155,48,38,155,6.615,False,p1,9239.0
fluid-muskrat,set8,20,3,236,225,225,4.116,False,p1,9239.0
fluid-muskrat,set9,0,61,237,4,4,4.048,False,p1,9239.0
fluid-muskrat,set9,1,103,63,231,63,653.767,False,p1,9239.0
fluid-muskrat,set9,2,75,180,117,117,24.748,False,p1,9239.0
fluid-muskrat,set9,3,67,52,88,52,5.098,False,p1,9239.0
fluid-muskrat,set9,4,141,86,149,86,7.416,False,p1,9239.0
fluid-muskrat,set9,5,161,228,113,161,5.031,False,p1,9239.0
fluid-muskrat,set9,6,137,137,149,149,2.598,False,p1,9239.0
fluid-muskrat,set9,7,31,38,34,38,77.147,False,p1,9239.0
fluid-muskrat,set9,8,239,14,103,14,166.778,False,p1,9239.0
fluid-muskrat,set9,9,163,178,137,163,3.983,False,p1,9239.0
fluid-muskrat,set9,10,178,22,45,178,4.664,False,p1,9239.0
fluid-muskrat,set9,11,99,222,203,99,168.11,False,p1,9239.0
fluid-muskrat,set9,12,164,80,174,164,6.301,False,p1,9239.0
fluid-muskrat,set9,13,86,37,198,37,23.515,False,p1,9239.0
fluid-muskrat,set9,14,77,226,88,226,5.266,False,p1,9239.0
fluid-muskrat,set9,15,109,12,213,12,3.082,False,p1,9239.0
fluid-muskrat,set9,16,171,153,112,153,36.514,False,p1,9239.0
fluid-muskrat,set9,17,137,82,239,239,2.516,False,p1,9239.0
fluid-muskrat,set9,18,118,149,97,97,2.482,False,p1,9239.0
fluid-muskrat,set9,19,226,125,14,14,6.7,False,p1,9239.0
fluid-muskrat,set9,20,110,188,143,110,2.598,False,p1,9239.0
fluid-muskrat,set10,0,6,98,210,210,9955.951,False,p1,9239.0
fluid-muskrat,set10,1,103,25,57,103,4.664,False,p1,9239.0
fluid-muskrat,set10,2,169,74,38,74,5.349,False,p1,9239.0
fluid-muskrat,set10,3,16,46,96,96,2.949,False,p1,9239.0
fluid-muskrat,set10,4,182,245,105,182,7.533,False,p1,9239.0
fluid-muskrat,set10,5,177,129,169,169,3.915,False,p1,9239.0
fluid-muskrat,set10,6,62,176,210,210,5.231,False,p1,9239.0
fluid-muskrat,set10,7,30,39,154,30,7.832,False,p1,9239.0
fluid-muskrat,set10,8,159,77,171,77,3.982,False,p1,9239.0
fluid-muskrat,set10,9,5,217,126,5,9.198,False,p1,9239.0
fluid-muskrat,set10,10,172,148,96,172,3.482,False,p1,9239.0
fluid-muskrat,set10,11,245,162,132,162,6.566,False,p1,9239.0
fluid-muskrat,set10,12,30,30,132,132,2.731,False,p1,9239.0
fluid-muskrat,set10,13,75,235,229,235,9.082,False,p1,9239.0
fluid-muskrat,set10,14,48,178,132,48,4.915,False,p1,9239.0
fluid-muskrat,set10,15,50,228,32,50,6.182,False,p1,9239.0
fluid-muskrat,set10,16,79,221,149,221,3.833,False,p1,9239.0
fluid-muskrat,set10,17,195,188,166,166,5.915,False,p1,9239.0
fluid-muskrat,set10,18,57,198,107,198,4.232,False,p1,9239.0
fluid-muskrat,set10,19,136,124,162,162,4.215,False,p1,9239.0
fluid-muskrat,set10,20,19,223,62,223,3.916,False,p1,9239.0
fluid-muskrat,set11,0,105,141,25,141,8.758,False,p1,9239.0
fluid-muskrat,set11,1,246,40,85,40,7.565,False,p1,9239.0
fluid-muskrat,set11,2,22,147,18,147,5.032,False,p1,9239.0
fluid-muskrat,set11,3,49,58,194,49,8.63,False,p1,9239.0
fluid-muskrat,set11,4,95,236,172,236,10.665,False,p1,9239.0
fluid-muskrat,set11,5,241,14,32,32,4.049,False,p1,9239.0
