triplet_id,participation,task,trial,stim1_name,stim2_name,stim3_name,choice,response_time,catch_trial_flag,token,survey_code
0,fluid-muskrat,set1,0,30,178,121,30,11.919,False,p1,9239.0
3,fluid-muskrat,set1,3,150,32,175,32,9.815,False,p1,9239.0
4,fluid-muskrat,set1,4,234,142,105,142,18.165,False,p1,9239.0
7,fluid-muskrat,set1,7,120,195,215,120,6.098,False,p1,9239.0
9,fluid-muskrat,set1,9,8,82,221,221,3.531,False,p1,9239.0
10,fluid-muskrat,set1,10,130,76,12,130,13.533,False,p1,9239.0
11,fluid-muskrat,set1,11,214,1,144,144,49.897,False,p1,9239.0
12,fluid-muskrat,set1,12,135,95,80,135,12.548,False,p1,9239.0
14,fluid-muskrat,set1,14,14,99,79,99,9.866,False,p1,9239.0
15,fluid-muskrat,set1,15,77,86,49,49,3.548,False,p1,9239.0
17,fluid-muskrat,set1,17,71,121,19,71,3.366,False,p1,9239.0
18,fluid-muskrat,set1,18,196,14,19,196,9.148,False,p1,9239.0
19,fluid-muskrat,set1,19,162,169,64,64,5.565,False,p1,9239.0
20,fluid-muskrat,set1,20,152,188,74,188,11.4,False,p1,9239.0
21,fluid-muskrat,set2,0,92,29,177,92,6.777,False,p1,9239.0
25,fluid-muskrat,set2,4,74,45,105,74,4.316,False,p1,9239.0
27,fluid-muskrat,set2,6,227,16,204,16,6.083,False,p1,9239.0
28,fluid-muskrat,set2,7,220,79,9,9,5.083,False,p1,9239.0
30,fluid-muskrat,set2,9,2,97,69,69,5.715,False,p1,9239.0
31,fluid-muskrat,set2,10,57,191,100,57,5.998,False,p1,9239.0
36,fluid-muskrat,set2,15,137,245,111,111,2.865,False,p1,9239.0
37,fluid-muskrat,set2,16,157,32,206,157,6.716,False,p1,9239.0
38,fluid-muskrat,set2,17,224,155,44,155,3.03,False,p1,9239.0
40,fluid-muskrat,set2,19,214,67,108,67,4.914,False,p1,9239.0
42,fluid-muskrat,set3,0,23,30,186,186,10.812,False,p1,9239.0
43,fluid-muskrat,set3,1,162,105,0,105,4.365,False,p1,9239.0
48,fluid-muskrat,set3,6,97,224,123,123,2.398,False,p1,9239.0
49,fluid-muskrat,set3,7,41,131,221,41,7.979,False,p1,9239.0
51,fluid-muskrat,set3,9,231,124,248,231,10.898,False,p1,9239.0
52,fluid-muskrat,set3,10,49,78,208,49,5.315,False,p1,9239.0
53,fluid-muskrat,set3,11,23,143,132,132,7.082,False,p1,9239.0
55,fluid-muskrat,set3,13,13,160,51,13,3.332,False,p1,9239.0
56,fluid-muskrat,set3,14,214,18,189,189,4.801,False,p1,9239.0
57,fluid-muskrat,set3,15,130,119,132,130,4.764,False,p1,9239.0
58,fluid-muskrat,set3,16,231,197,154,154,4.198,False,p1,9239.0
